case	ReZ_ohm	ImZ_ohm	|Z|_ohm	argZ_deg	|V|	|I|	Vrms	Irms	t_end_s	n
static_rs0	1.760662e+04	-4.748072e+04	5.064002e+04	-69.654	3.590904e-05	7.091040e-10	3.530363e+00	9.484867e-05	2.868512e-05	43001
static_rsmax	1.417843e+04	-4.259426e+04	4.489207e+04	-71.589	3.590904e-05	7.998971e-10	3.530363e+00	9.150437e-05	2.868512e-05	43001
osc_rs_t	6.648012e+04	-5.788650e+04	8.815018e+04	-41.047	3.590904e-05	4.073621e-10	3.530363e+00	9.046502e-05	2.868512e-05	43001
