Freq(Hz)	Re(Z)	Im(Z)
600000.0	13414.239969426804	9035.59513342396
1000000.0	19010.111476572103	4516.7098586670345
1400000.0	23192.78274423417	7124.792563198055
1700000.0	39980.41728072003	9845.30372777983
1900000.0	70942.06941881566	-16284.459070684225
2000000.0	56193.38220131353	-55242.0457051403
2100000.0	21336.230200262755	-53151.90481323038
2200000.0	9163.710668550215	-40864.80000228465
2400000.0	3312.3889266451333	-29552.64010541156
3000000.0	566.8465425048721	-16669.61925163437
