Freq(Hz)	Re(Z)	Im(Z)
600000.0	13413.925239253253	9035.379275899424
1000000.0	19009.484077481862	4516.950470915501
1400000.0	23192.981129961143	7125.132123164871
1700000.0	39980.92531185536	9845.238965815233
1900000.0	70942.30060075136	-16284.662280758188
2000000.0	56193.03381985446	-55242.726643759095
2100000.0	21336.368235088645	-53151.598020670914
2200000.0	9163.640924643216	-40864.84828503748
2400000.0	3312.465379454129	-29552.610839770306
3000000.0	566.8668574128517	-16669.617640019802
